year,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,polarity,subjectivity,vader_compound,vader_pos,vader_neu,vader_neg,word_diversity,flesch_reading_ease,gunning_fog,average_word_length,num_words,avg_sentence_length,verb_ratio,function_word_ratio,content_word_ratio
2020,0.01713732825129685,-0.041910529695096455,0.006922333788659946,0.03465724096473782,-0.011161940693855288,0.0399458955783112,-0.039972180988326,0.053583999999999965,-0.035637092555331984,0.07843043718592979,-0.0392938730964467,-0.05872601031767244,17.171886861807103,-1.316800170483365,-0.7115313159150753,-1.8316814964610728,5.1829937430024025,0.013011962450735493,0.04664816091741125,-0.0466481609174112
2021,0.01770305360003782,-0.03604366778201895,0.004058415378782293,0.030750929146688283,-0.007903873324394212,0.03428142894128111,-0.048546219321112305,-0.06920540000000003,-0.04409472864321609,0.07439035412474848,-0.027923940222897667,-0.06136837770299597,16.566415064603675,-1.1339901887234145,-0.6857749163531386,-1.1060644511581188,5.449384637464352,0.010985660877744219,0.04433344229920888,-0.04433344229920899
2022,0.022326914637200435,-0.03509933147174754,0.0016665620207786669,0.025195150720057374,-0.006581832721127667,0.01359351698362557,-0.04458274690582781,-0.16052550000000004,-0.04806676744186046,0.07054782848545638,-0.020207341365461845,-0.06170219264197585,17.60452387505324,-1.6594948200547943,-0.7066688329198385,-2.932497975708486,4.6946691769307005,0.01028307338462972,0.03999602499019245,-0.0399960249901925
2023,0.026181685605966343,-0.028169979845975107,-0.003926945328712461,0.020739017107462926,0.001115659916313877,0.008048165787429715,-0.04329381023563339,-0.15363710000000003,-0.047979289340101525,0.0697625135406219,-0.018206060240963856,-0.060228127316491076,16.23471670033245,-1.2860493584258457,-0.5757902066393887,-4.0798211382114005,4.942893969277218,0.006732947427504271,0.025031905119533626,-0.02503190511953357
2024,0.025128013598422205,-0.027114278156341126,-0.0027580590620636947,0.020114635922259566,-0.00040283990587719476,0.007863654637248418,-0.05460832952917477,-0.17225200000000002,-0.05182454545454547,0.07109470967741938,-0.017800203610832496,-0.05494944394753776,17.082829444600854,-1.5866456836999898,-0.6168176239390553,-5.717015136226053,3.7094484634823974,0.00744708731033894,0.02139634055575601,-0.02139634055575601
