year,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,polarity,subjectivity,vader_compound,vader_pos,vader_neu,vader_neg,word_diversity,flesch_reading_ease,gunning_fog,average_word_length,num_words,avg_sentence_length,verb_ratio,function_word_ratio,content_word_ratio
2020,-0.018926421092438306,-0.009167580767325545,0.012993985233622302,0.03253858918120234,-0.013215255462841191,-0.0071712593979254,-0.08662929310378453,-0.19569855655655655,-0.023067494949494963,0.011694006116207856,0.01433934728033473,-0.07460360962234724,31.79228374192479,-4.456296069795364,-0.9976021093480893,5.780999999999992,3.6747014476786646,-0.007615823499769636,0.09755826084225444,-0.09755826084225439
2021,-0.017874730947404355,-0.010768259740269126,0.010954654078934367,0.034237350791897686,-0.010395723708761767,-0.016600567093812607,-0.0914446650117216,-0.18611945737211638,-0.023675396761133616,0.012946629441624391,0.016329646687697166,-0.07812610176617052,30.74182518003599,-4.134078082197963,-0.9774348075571897,8.057999999999993,3.922533529741866,-0.011467606390350021,0.09021853618108566,-0.09021853618108577
2022,-0.01763793616725204,-0.012749514791667166,0.011984342530369757,0.035149119173225635,-0.01198410778843173,-0.017588357344701808,-0.09778517315915469,-0.21002195903614457,-0.024966080726538845,0.015538887080366215,0.015300512118018965,-0.07625729918399282,30.98697570962504,-4.339790997315202,-0.9944757986046895,6.555633633633633,3.6738962754734885,-0.011083905009827616,0.08776972787089521,-0.08776972787089521
2023,-0.01480219208541872,-0.011797745040345059,0.00859463298850388,0.034293543143032235,-0.010190282573662723,-0.008783976594176665,-0.09103695721710581,-0.16225523815261045,-0.021142571428571427,0.01353187080366236,0.013203654450261781,-0.07168109880931783,30.05584653396043,-4.1903385546793,-0.9396175432249594,6.9339999999999975,3.3960240929810155,-0.009952329827121936,0.08558859432599708,-0.08558859432599708
2024,-0.013169205015449326,-0.009330450364094273,0.006233118722150044,0.032377647378813545,-0.006846621671114772,-0.008205602259870798,-0.08328015437038111,-0.13054603567839196,-0.017428849246231157,0.00736864892528144,0.014454430997876855,-0.06804000989718462,29.886422404222706,-4.284297446429964,-0.9386928258250737,9.054000000000002,3.175693943463944,-0.009081743622608607,0.07538296202432654,-0.07538296202432648
