year,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,polarity,subjectivity,vader_compound,vader_pos,vader_neu,vader_neg,word_diversity,flesch_reading_ease,gunning_fog,average_word_length,num_words,avg_sentence_length,verb_ratio,function_word_ratio,content_word_ratio
2020,-0.018861117300330382,-0.01604238231124408,0.013426925022858222,0.03942853510098565,-0.014816993474810858,-0.018406826263778694,-0.06315294056811338,-0.05954720000000002,-0.01654631142568251,0.015479487179487217,0.0071668510638297905,-0.11876312807871758,32.84373791302865,-5.506870927699413,-1.135843008108413,22.088679037111334,1.321934365435748,0.00969057581501373,0.0852973110671727,-0.08529731106717275
2021,-0.019631536635715485,-0.016185553630242988,0.01306578018413923,0.04096304654446406,-0.014320327710961145,-0.023322456363317326,-0.06488932063904596,-0.04755599999999999,-0.013487427419354839,0.011325564234326846,0.008390390658174103,-0.12329448923160446,31.3981629297997,-5.043351998684248,-1.1138552252641567,23.27199999999999,1.6184373725832728,0.00589800637681287,0.07876757917055627,-0.07876757917055621
2022,-0.016896870486050153,-0.01717791177290512,0.011836815341813883,0.04068135618776958,-0.014015008694795245,-0.02951835875594598,-0.06526402041895629,-0.06162119999999999,-0.015507616161616153,0.016549198364008144,0.007800567164179102,-0.12416703166390541,32.26294871594369,-5.3264620778187215,-1.128080540934632,23.74464529058116,1.471704923065591,0.00446408646031593,0.08026764796199265,-0.0802676479619927
2023,-0.017689704857751315,-0.01754820073042887,0.011967754748960335,0.042756403233848134,-0.014117307600606394,-0.018897362756615632,-0.05869664261909313,-0.05915989999999999,-0.012390401630988784,0.010534428571428611,0.008302686192468614,-0.11891986257067488,31.394052498672412,-5.271109197381058,-1.0964416327736313,24.433693693693684,1.0901209376455405,0.006137957704504149,0.07838792660987509,-0.07838792660987515
2024,-0.019635063804103514,-0.01565041997012767,0.011755468715375389,0.04183113689313661,-0.01313449449709267,-0.02633541945054811,-0.05198028467394883,-0.05479149259259258,-0.012688411764705892,0.010257866805411076,0.008949150537634405,-0.11578294537408751,30.846058633463656,-5.25226989908932,-1.102212337086491,28.260875502008034,1.0264377073253534,0.007545022055265638,0.06698418637655773,-0.06698418637655768
