year,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,polarity,subjectivity,vader_compound,vader_pos,vader_neu,vader_neg,word_diversity,flesch_reading_ease,gunning_fog,average_word_length,num_words,avg_sentence_length,verb_ratio,function_word_ratio,content_word_ratio
2020,0.01298470575217342,-0.03731739679983456,0.007610359564423574,0.030757419117304508,-0.007196206696786445,0.010662967521806802,0.0025384560052486016,-0.04734960000000005,-0.028080502008032138,0.044333571715145514,-0.011456037037037035,-0.0837891576106945,4.940230716637764,0.5412296715344098,-0.35048068012710587,16.595105263157876,4.423407160341876,0.018501300264415654,0.032361154973591766,-0.03236115497359182
2021,0.012745858960535789,-0.031565025468242774,0.004537829630076873,0.027367741135605528,-0.004460103400864501,0.00223223124850197,-0.006959578820987189,-0.10531459999999998,-0.031073672708962746,0.0405257497477296,-0.006795600405679503,-0.08180380558046119,4.307338085598687,0.8395318728680827,-0.3414325266572531,17.91831869254341,5.0407663821801005,0.01744802497994974,0.029669061227142357,-0.029669061227142413
2022,0.01576196696856111,-0.03235226619915396,0.004284358873963362,0.0259804780330207,-0.006279326797878182,-0.005764051603804277,-0.0007939926092972449,-0.12875740000000002,-0.030174664974619278,0.038717919633774245,-0.005123018329938889,-0.08494257389968118,5.151040945022359,0.43953123357004564,-0.3728909390235886,17.8595076142132,4.351742577936211,0.017328537733100835,0.02931578418007591,-0.029315784180075855
2023,0.015290373320317824,-0.03229844157214537,0.002699410289525972,0.027689448812664358,-0.0048755207034837655,-0.005323532956447524,5.039753788271817e-05,-0.10142999999999996,-0.02981985844287159,0.041821947633434164,-0.007575381338742401,-0.08583640574018991,4.572413887990045,0.6727179349653927,-0.29657198585300293,18.678152196118475,4.724967185814714,0.01589154170390042,0.022611026619888674,-0.022611026619888674
2024,0.017064412158902587,-0.030884949014089585,0.002851105161011225,0.025021282930748484,-0.003862766796625755,-0.0039139308750877205,-0.006544050611916263,-0.08589549999999996,-0.03290036437246964,0.04415801005025122,-0.007315835699797157,-0.08748937483261088,6.172804745999855,0.22883913546121448,-0.3718546019350306,19.193910931174088,3.503235910585195,0.01626102290945186,0.022115450789049418,-0.022115450789049418
