year,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,polarity,subjectivity,vader_compound,vader_pos,vader_neu,vader_neg,word_diversity,flesch_reading_ease,gunning_fog,average_word_length,num_words,avg_sentence_length,verb_ratio,function_word_ratio,content_word_ratio
2020,-0.007535160535438484,-0.0370895999962757,0.011908803971413473,0.030857745288497385,0.004307488813180216,0.02230940839338276,0.018052604301714514,-0.34774149696969703,-0.01902640320962888,0.012917598796389096,0.00947421377183967,-0.20545402000312502,41.798178048146994,-6.702553476049518,-1.3300045179699103,557.2942096944151,4.523594497427933,0.0013028348550631619,0.10117629593893884,-0.10117629593893884
2021,-0.008350297722908767,-0.03391463708459311,0.011977882852412136,0.031119882826318515,0.0017111317040069685,0.019027885893641364,0.006006104324559669,-0.26842172614840987,-0.025882881269191388,0.021455807228915713,0.009747095723014257,-0.21896816489993237,42.12167594451604,-6.900425017505821,-1.346506295048223,642.6780912863071,4.05285129194942,0.000656769323091444,0.10038255898851256,-0.10038255898851256
2022,-0.010472710731333684,-0.033076396193988195,0.015509612050894822,0.033034953366521486,-0.0015775384869180231,0.02499715072037574,0.005080534908482426,-0.3769091881334983,-0.021120907815631265,0.010896894472361751,0.013989436532507733,-0.2151002170334282,43.080483848072866,-6.9874114388319715,-1.3519126921938653,575.3404922279792,3.893606492749644,-0.0014749857210043793,0.09402911001972425,-0.09402911001972414
2023,-0.012990635256401817,-0.02969818890962092,0.013488873897097159,0.03151201185227327,0.0005478687267539972,0.02889336092123082,0.0024355157488850088,-0.3828629174757281,-0.018070509605662297,0.005625477386934641,0.018281698857736242,-0.21774292743951995,41.437379931496125,-6.652244636977747,-1.3132804171480759,689.2217239915075,4.182345229444159,-0.003743313028676948,0.09501385488867753,-0.09501385488867753
2024,-0.011527535492803026,-0.02958480473112829,0.011875671940009963,0.02938060865132283,0.0024575043061209056,0.0284736098193369,0.00558231900964562,-0.2930908994192799,-0.016659353535353527,0.0031227464788732284,0.01772977286742035,-0.21683800876844733,40.61345775463313,-6.585421814234667,-1.2784645638356853,614.8455259875259,4.300719544555637,-0.004371842612153565,0.0910072191838433,-0.09100721918384336
