feature_set,n_features,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,n_samples
1_CE-Var_only,60,0.922326609560652,0.01657405998368465,0.9665525147954825,0.011603480582081459,0.8263112427766804,0.04006248139142804,1648
2_CE-Var+CE-Geo,66,0.9199042092659114,0.012941248849127366,0.9672341089864895,0.009861713675615726,0.8215170512237684,0.03230589062536363,1648
3_CE-Var+CE-Geo+TFIDF-Geo,72,0.925369807497467,0.016529497511660062,0.9723110743940605,0.008870216126631364,0.8331417241190753,0.03909508678065219,1648
4_CE-Var+CE-Geo+SBERT-Geo,72,0.9223284516901538,0.016566837494865254,0.9685394474818081,0.00860748546512079,0.825250891604275,0.03891779474867207,1648
5_Unified,141,0.9411402781615548,0.014799257978858954,0.9841023380256901,0.006126883939076054,0.8727155014403337,0.035292701248118126,1648
