feature_set,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,n_samples
variability,0.916990291262136,0.010789374160627602,0.9605689991853328,0.009746832461303643,0.7478748627006775,0.03851738796711563,2060
geometry_all,0.8456310679611649,0.011133344603087098,0.8405782253959394,0.026396900551060046,0.46968214381488715,0.05060872567297542,2060
unified,0.9266990291262136,0.010568709251008366,0.9705308591742339,0.004847227438942006,0.7785398681005753,0.03769054796958748,2060
ce_geometry,0.7810679611650485,0.00860196366343172,0.5711547071835554,0.02093759313369283,0.11676648408441788,0.03760794613700571,2060
tfidf_geometry,0.804854368932039,0.00990100876425783,0.7394116154195495,0.0222149020945225,0.3654386704652985,0.04143982830668812,2060
sbert_geometry,0.7936893203883495,0.00982934792782358,0.6098139028322971,0.02417048849994062,0.22837658810531197,0.040111497707363136,2060
