author,label,provider,level,mean_yearly_distance,std_yearly_distance,path_length,net_displacement,tortuosity,n_years
DS_LV1_Academic_BIOLOGY_01,llm,DS,1,0.1106988053979385,0.018845383706926747,0.442795221591754,0.13595269024823145,3.256980209683744,5
DS_LV1_Academic_BIOLOGY_02,llm,DS,1,0.1169872537059043,0.02736061721923093,0.4679490148236172,0.06808403871578116,6.873108934930906,5
DS_LV1_Academic_BIOLOGY_03,llm,DS,1,0.09304130262629637,0.024222242608148523,0.3721652105051855,0.09356953008798607,3.9774188259279275,5
DS_LV1_Academic_BIOLOGY_04,llm,DS,1,0.15222726658685537,0.08889377684771478,0.6089090663474215,0.34558234067252636,1.761979692487885,5
DS_LV1_Academic_BIOLOGY_05,llm,DS,1,0.08249189984077826,0.031030280281369244,0.32996759936311304,0.044766663439558735,7.370832981748026,5
DS_LV1_Academic_BIOLOGY_06,llm,DS,1,0.09944979293374187,0.022532390198969358,0.3977991717349675,0.04826263109181642,8.242384692582988,5
DS_LV1_Academic_BIOLOGY_07,llm,DS,1,0.0582606433084524,0.02166370843468495,0.2330425732338096,0.05784694063172841,4.02860671089645,5
DS_LV1_Academic_BIOLOGY_08,llm,DS,1,0.08857212932435307,0.019897624461836898,0.3542885172974123,0.07537881616547029,4.700107209427171,5
DS_LV1_Academic_BIOLOGY_09,llm,DS,1,0.10994755289934816,0.05669200100631275,0.4397902115973926,0.09158455766974108,4.8020127277712055,5
DS_LV1_Academic_BIOLOGY_10,llm,DS,1,0.09427372157574916,0.04500911951219493,0.37709488630299665,0.0675907203207307,5.579092581253912,5
DS_LV1_Academic_BIOLOGY_11,llm,DS,1,0.16009301690066274,0.055988397308857414,0.640372067602651,0.21944041337645054,2.9182047998792786,5
DS_LV1_Academic_BIOLOGY_12,llm,DS,1,0.08695554061565978,0.029772945939477494,0.34782216246263914,0.09480914193121925,3.6686563698147596,5
DS_LV1_Academic_BIOLOGY_13,llm,DS,1,0.1858354379807527,0.09801273045408106,0.7433417519230108,0.3524823940155232,2.1088762574912443,5
DS_LV1_Academic_BIOLOGY_14,llm,DS,1,0.08836820298467905,0.01530632186668836,0.3534728119387162,0.043484082785773974,8.128786197011761,5
DS_LV1_Academic_BIOLOGY_15,llm,DS,1,0.07233931635979578,0.016725850640701485,0.2893572654391831,0.09370954465165189,3.087809961245846,5
DS_LV1_Academic_BIOLOGY_16,llm,DS,1,0.06480465469709076,0.01624114456924783,0.25921861878836305,0.09062758514647234,2.860261788608996,5
DS_LV1_Academic_BIOLOGY_17,llm,DS,1,0.09238504244005845,0.0234097719329922,0.3695401697602338,0.08291129910914193,4.457054391027962,5
DS_LV1_Academic_BIOLOGY_18,llm,DS,1,0.09395740157721567,0.03072527114753624,0.3758296063088627,0.13647267046341935,2.7538818214127456,5
DS_LV1_Academic_BIOLOGY_19,llm,DS,1,0.23092958907246397,0.12244591356970455,0.9237183562898559,0.08386734887020311,11.01404025205857,5
DS_LV1_Academic_BIOLOGY_20,llm,DS,1,0.08749763689291376,0.020845225738866918,0.34999054757165504,0.12359747878004335,2.8316964959657915,5
DS_LV1_Academic_CHEMISTRY_01,llm,DS,1,0.0854213193131297,0.022028575356727344,0.3416852772525188,0.09718599466364164,3.5157872122941503,5
DS_LV1_Academic_CHEMISTRY_02,llm,DS,1,0.14153528440516538,0.046252231938648,0.5661411376206615,0.2354519026154412,2.4044874190094285,5
DS_LV1_Academic_CHEMISTRY_03,llm,DS,1,0.141486465749566,0.03796379573190362,0.565945862998264,0.2006411001676062,2.820687598530407,5
DS_LV1_Academic_CHEMISTRY_04,llm,DS,1,0.12060760961451655,0.04001078928000353,0.4824304384580662,0.07641692407533764,6.31313605324456,5
DS_LV1_Academic_CHEMISTRY_05,llm,DS,1,0.12571496924310277,0.008393699945424984,0.5028598769724111,0.052380456286802324,9.600143118629354,5
DS_LV1_Academic_CHEMISTRY_06,llm,DS,1,0.14641384451557837,0.04442613821754517,0.5856553780623135,0.20039647882628847,2.922483376416921,5
DS_LV1_Academic_CHEMISTRY_07,llm,DS,1,0.17092126181643658,0.04475164855891226,0.6836850472657463,0.08433769296743272,8.106518250739365,5
DS_LV1_Academic_CHEMISTRY_08,llm,DS,1,0.12087283608231317,0.056580513170713324,0.48349134432925267,0.12743080359419307,3.7941481234705567,5
DS_LV1_Academic_CHEMISTRY_09,llm,DS,1,0.0956688580940252,0.03121514779855047,0.3826754323761008,0.13704137765917565,2.792407949428394,5
DS_LV1_Academic_CHEMISTRY_10,llm,DS,1,0.08193180048864773,0.007270121995492317,0.32772720195459093,0.0932712509058561,3.5137000819832935,5
DS_LV1_Academic_CHEMISTRY_11,llm,DS,1,0.07399262973059922,0.024191174130271043,0.2959705189223969,0.11337141043134699,2.6106274747426235,5
DS_LV1_Academic_CHEMISTRY_12,llm,DS,1,0.09617575515626388,0.020235949414167426,0.3847030206250555,0.1084130667334578,3.5484931126510673,5
DS_LV1_Academic_CHEMISTRY_13,llm,DS,1,0.1346897971740161,0.07860729577819078,0.5387591886960644,0.17455941916953313,3.0863942562321336,5
DS_LV1_Academic_CHEMISTRY_14,llm,DS,1,0.09007955541164858,0.019824686878967133,0.3603182216465943,0.12810325594071836,2.8127171241715887,5
DS_LV1_Academic_CHEMISTRY_15,llm,DS,1,0.13037050585958931,0.09673191494685746,0.5214820234383573,0.3455161059834919,1.5092842689749248,5
DS_LV1_Academic_CHEMISTRY_16,llm,DS,1,0.09128000094591174,0.04125803720317673,0.36512000378364695,0.07007879017411905,5.210135661253042,5
