author,label,provider,level,mean_yearly_distance,std_yearly_distance,path_length,net_displacement,tortuosity,n_years
DS_LV1_News_10years_01,llm,DS,1,0.2236856142710367,0.09798006628501342,10.736909485009761,0.16456647706607191,65.24360049768211,49
DS_LV1_News_10years_02,llm,DS,1,0.2713989883932149,0.11381367633726394,13.027151442874317,0.2652112324754147,49.11990838880455,49
DS_LV1_News_10years_03,llm,DS,1,0.21503416839711012,0.09224297117180345,10.106605914664176,0.23667003924684812,42.703360116161264,48
DS_LV1_News_10years_04,llm,DS,1,0.186635478324405,0.07130712418984503,7.838690089625009,0.2438537982910235,32.14503995656466,43
DS_LV1_News_10years_05,llm,DS,1,0.19798649971452734,0.10467047971143124,9.305365486582785,0.2997158744576142,31.04728938172659,48
DS_LV1_News_10years_06,llm,DS,1,0.18515749508088755,0.08664161419462237,9.07271725896349,0.18058311124845985,50.24122796555743,50
DS_LV1_News_11years_01,llm,DS,1,0.22390453503707858,0.08563496598578066,9.627895006594379,0.18056465183927886,53.32103990743547,44
DS_LV1_News_11years_02,llm,DS,1,0.14379363837700357,0.0735125660518593,5.895539173457147,0.1619366528253991,36.4064532062037,42
DS_LV1_News_11years_03,llm,DS,1,0.19581312802984902,0.11372597795093227,8.615777633313357,0.0985474100678585,87.42774292475714,45
DS_LV1_News_11years_04,llm,DS,1,0.15808303100772572,0.0804875574507829,8.53648367441719,0.07329836700943533,116.46212627517787,55
DS_LV1_News_11years_05,llm,DS,1,0.16886706205102386,0.07364533998816508,8.612220164602217,0.13677497489645443,62.96634432667308,52
DS_LV1_News_11years_06,llm,DS,1,0.18315050433214333,0.08332315516398031,9.89012723393574,0.2455695149758672,40.274246723611725,55
DS_LV1_News_11years_07,llm,DS,1,0.1458864499612436,0.06360046429247533,7.29432249806218,0.053456287952755546,136.45396598635642,51
DS_LV1_News_11years_08,llm,DS,1,0.13928867510859005,0.06841445791454123,7.382299780755273,0.1710532893454847,43.157894297167715,54
DS_LV1_News_11years_09,llm,DS,1,0.19627863784083383,0.09749397289923209,10.599046443405026,0.194453286129129,54.506903197133965,55
DS_LV1_News_5years_01,llm,DS,1,0.07691215324140421,0.03172866362907318,1.3075066051038715,0.11945051988471053,10.946010166936327,18
DS_LV1_News_5years_02,llm,DS,1,0.2223242495168817,0.09679909930366533,5.335781988405161,0.25340409679409004,21.0564156456432,25
DS_LV1_News_5years_03,llm,DS,1,0.15794526842592096,0.056993197892026254,3.790686442222103,0.17052917586873725,22.228961249070583,25
DS_LV1_News_5years_04,llm,DS,1,0.11853948015265606,0.06717199302822197,2.015171162595153,0.16029467146599818,12.571666569856081,18
DS_LV1_News_5years_05,llm,DS,1,0.22123739020217817,0.08258855566588867,7.079596486469701,0.24637009328083828,28.735616373695326,33
