author,label,provider,level,mean_yearly_distance,std_yearly_distance,path_length,net_displacement,tortuosity,n_years
DS_LV1_Academic_BIOLOGY_01,llm,DS,1,0.8895208239555359,0.14729993045330048,3.5580832958221436,1.032344102859497,3.4466059194473857,5
DS_LV1_Academic_BIOLOGY_02,llm,DS,1,0.9848159551620483,0.05604806914925575,3.9392638206481934,0.8141473531723022,4.838514557959272,5
DS_LV1_Academic_BIOLOGY_03,llm,DS,1,0.7902653217315674,0.13402380049228668,3.1610612869262695,0.7168496251106262,4.4096574458533695,5
DS_LV1_Academic_BIOLOGY_04,llm,DS,1,1.1871219873428345,0.09726157039403915,4.748487949371338,1.3010680675506592,3.6496844921500986,5
DS_LV1_Academic_BIOLOGY_05,llm,DS,1,0.5832290649414062,0.0807514414191246,2.332916259765625,0.5409827828407288,4.312366925090222,5
DS_LV1_Academic_BIOLOGY_06,llm,DS,1,0.9108762145042419,0.11624713242053986,3.6435048580169678,0.5866824388504028,6.210352682716005,5
DS_LV1_Academic_BIOLOGY_07,llm,DS,1,0.8709275722503662,0.12278760224580765,3.483710289001465,0.5970147252082825,5.835216690486305,5
DS_LV1_Academic_BIOLOGY_08,llm,DS,1,0.5851643085479736,0.04881032556295395,2.3406572341918945,0.6183670163154602,3.7852232936657915,5
DS_LV1_Academic_BIOLOGY_09,llm,DS,1,0.6243651509284973,0.10133601725101471,2.4974606037139893,0.689598798751831,3.621613912661065,5
DS_LV1_Academic_BIOLOGY_10,llm,DS,1,0.7838609218597412,0.19105175137519836,3.135443687438965,0.6606236696243286,4.746187325110485,5
DS_LV1_Academic_BIOLOGY_11,llm,DS,1,0.9732699394226074,0.057714659720659256,3.8930797576904297,1.1345053911209106,3.4315216024174204,5
DS_LV1_Academic_BIOLOGY_12,llm,DS,1,0.7873568534851074,0.03645705059170723,3.1494274139404297,0.7461797595024109,4.220735518262545,5
DS_LV1_Academic_BIOLOGY_13,llm,DS,1,0.9652109742164612,0.1472768783569336,3.8608438968658447,1.1510945558547974,3.3540632063877673,5
DS_LV1_Academic_BIOLOGY_14,llm,DS,1,0.8239212036132812,0.06727218627929688,3.295684814453125,0.7885056734085083,4.179658974686539,5
DS_LV1_Academic_BIOLOGY_15,llm,DS,1,0.8857471346855164,0.08039844781160355,3.5429885387420654,0.9274352788925171,3.820200308718978,5
DS_LV1_Academic_BIOLOGY_16,llm,DS,1,0.8089713454246521,0.11132998019456863,3.2358853816986084,0.8581651449203491,3.770702411828842,5
DS_LV1_Academic_BIOLOGY_17,llm,DS,1,1.0800069570541382,0.1388738602399826,4.320027828216553,1.1213386058807373,3.8525631825753974,5
DS_LV1_Academic_BIOLOGY_18,llm,DS,1,0.8485280275344849,0.1255323439836502,3.3941121101379395,1.0488991737365723,3.2358802400871753,5
DS_LV1_Academic_BIOLOGY_19,llm,DS,1,1.046836495399475,0.14207617938518524,4.1873459815979,0.8002509474754333,5.232541110770065,5
DS_LV1_Academic_BIOLOGY_20,llm,DS,1,0.9480574727058411,0.1304226815700531,3.7922298908233643,0.9756778478622437,3.8867643650333146,5
DS_LV1_Academic_CHEMISTRY_01,llm,DS,1,0.7136192321777344,0.0691453143954277,2.8544769287109375,0.8018485307693481,3.5598704982001497,5
DS_LV1_Academic_CHEMISTRY_02,llm,DS,1,0.7364711761474609,0.11594092845916748,2.9458847045898438,0.8193854093551636,3.595236955596004,5
DS_LV1_Academic_CHEMISTRY_03,llm,DS,1,1.186094045639038,0.16231709718704224,4.744376182556152,1.1994516849517822,3.955454181338597,5
DS_LV1_Academic_CHEMISTRY_04,llm,DS,1,0.7694980502128601,0.08667229115962982,3.0779922008514404,0.7817808389663696,3.9371548232379334,5
DS_LV1_Academic_CHEMISTRY_05,llm,DS,1,1.0790380239486694,0.047530677169561386,4.316152095794678,0.6316348314285278,6.833302853221559,5
DS_LV1_Academic_CHEMISTRY_06,llm,DS,1,0.7328664660453796,0.0651145800948143,2.9314658641815186,0.8273051977157593,3.543391087443276,5
DS_LV1_Academic_CHEMISTRY_07,llm,DS,1,1.0886775255203247,0.08695854991674423,4.354710102081299,0.9688122272491455,4.494895893754462,5
DS_LV1_Academic_CHEMISTRY_08,llm,DS,1,0.8946547508239746,0.27081170678138733,3.5786190032958984,0.9779995083808899,3.659121474631842,5
DS_LV1_Academic_CHEMISTRY_09,llm,DS,1,0.9173935651779175,0.17437152564525604,3.66957426071167,0.8612698912620544,4.260655455323639,5
DS_LV1_Academic_CHEMISTRY_10,llm,DS,1,0.7579127550125122,0.050651319324970245,3.031651020050049,0.8049712777137756,3.7661604879373294,5
DS_LV1_Academic_CHEMISTRY_11,llm,DS,1,1.0198593139648438,0.12557044625282288,4.079437255859375,1.0712735652923584,3.8080256883273944,5
DS_LV1_Academic_CHEMISTRY_12,llm,DS,1,1.022692084312439,0.06830239295959473,4.090768337249756,0.9367244243621826,4.367099043067194,5
DS_LV1_Academic_CHEMISTRY_13,llm,DS,1,0.8996461629867554,0.17701314389705658,3.5985846519470215,1.086159586906433,3.3131269983966183,5
DS_LV1_Academic_CHEMISTRY_14,llm,DS,1,0.8515352010726929,0.1248641237616539,3.4061408042907715,0.8381056189537048,4.064094938944586,5
DS_LV1_Academic_CHEMISTRY_15,llm,DS,1,0.9307838082313538,0.1917036473751068,3.723135232925415,1.0909126996994019,3.412862673568027,5
DS_LV1_Academic_CHEMISTRY_16,llm,DS,1,1.058852195739746,0.14113444089889526,4.235408782958984,1.2610856294631958,3.3585417865413816,5
